genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
edm,Eyes Wide Shut,"ILLENIUM, Avril Lavigne, Travis Barker",Hot Hits Bop,2024-05-18,152331,0,43,spotify:track:2u8slKJ6boOSfcQ5NP3ium
edm,Raw Joy,AA Sound System,Laissez faire...,2006-01-01,182640,0,4,spotify:track:6LD3dvmlPn1cvuI9mac0Vm
edm,Kids Love To Play - Ash Roy remix,"Ash Roy, Arnold From Mumbai",Kids Love To Play,2012-01-10,397000,0,3,spotify:track:2q9y10weZIx5GDUtT81It3
edm,Break Free - Original Mix,"Tempo Giusto, Gabriel Thomas, Catie Leta","Infinite Flame, Vol. 7",2023-08-24,215967,0,3,spotify:track:5hqt2CzHdAT3VvmjbUG02M
edm,Get Get Down - Radio Mix,"R3HAB, Addy Van Der Zwan",Get Get Down,2009-11-23,159375,0,1,spotify:track:2MUiWTV7Aw8i0RunJBNtQN
edm,ATOMIC,KO3,BADASS Screaming Bomb Screening 4DX Original Soundtrack,2017-05-05,225146,0,5,spotify:track:13QHkZyxoBJksnbeZpQ1nD
edm,Portland,Jay Sparrow,The Running,2008-08-05,231533,0,8,spotify:track:73KQghGsTPinNzVrNoKlsi
edm,Twilight Tonight - D-Mad Remix,ARTY,Ultimate Trance Remixes,2013-08-12,400000,0,5,spotify:track:0Wsf2ySlARLbG4mKlzIASy
edm,Night Radio,FASSounds,Autumn Tunes vol. 1,2022-08-20,130983,0,9,spotify:track:014QqkJGSv94tOB28b8aeY
edm,Fashion World,"Brian Cua, David Redwitz, Mark Nolan","Fashion Tracks, Vol. 4",2011-07-18,172308,0,3,spotify:track:2H1fHDx6avBdpiVz99YXA2
edm,Egg producing traitors,Voter Kernel,We mustn't be sick on them,2022-09-03,135255,0,7,spotify:track:67fZfaEPVEsupQfYMBn8V5
edm,Nightwalkers - DJ Tht Radio Edit,"Raaban, Evana",50 Hall of Fame Hands Up Sounds,2014-11-28,208333,0,29,spotify:track:1J0nxpGsmUJ3A3VSCBRpiD
edm,Seeds of Love,Vexento,Powerful EDM,2021-09-07,213873,0,3,spotify:track:1gi7SEeF8u0ZScZKaIIsL2
edm,Life,John Dahlbäck,Dorm Room: Electronic,2021-01-22,379692,0,12,spotify:track:5O9M5Ul7xQAYcfH8sRDtUJ
edm,Inspiring Story,FASSounds,Inspiring Story,2024-03-25,116630,0,1,spotify:track:1ZBvHjBWyf1oJlj6KHH6gH
edm,She's My Summer (feat. Pitbull) [Robert Abigail Vocal Remix],"Lotus, Honorebel",She’s My Summer (Robert Abigail Remixes) (feat. Pitbull),2015-07-31,295238,0,2,spotify:track:3tNe9MwBtKCVwAMX89p85G
