genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
world-music,革命道中 - On The Way,AiNA THE END,革命道中 - On The Way,2025-07-02,197668,78,1,spotify:track:1oFqKeepmT5S8BCGqJl7Ar
world-music,Mayonaka no Door / Stay With Me,Miki Matsubara,Miki Matsubara Best Collection,2008,312293,77,4,spotify:track:2BHj31ufdEqVK5CkYDp9mA
world-music,オトノケ - Otonoke,Creepy Nuts,オトノケ - Otonoke,2024-10-04,185626,78,1,spotify:track:6KYOlIwDHbrbeBbJEtQ0Fj
world-music,Mirage (OP Theme to Call of the Night Season 2),Creepy Nuts,Mirage,2025-07-04,138573,78,1,spotify:track:3GVNp2UgIp2TN3ra67cxdg
world-music,おつかれSUMMER,HALCALI,ハルカリベーコン,2003-09-03,239533,75,5,spotify:track:3clPsjTbx4UOPMeQn7FZkV
world-music,Aishite Aishite Aishite,Ado,Ado's Utattemita Album,2023-12-13,258372,72,3,spotify:track:4gpvY7b9wHA9G1ZsMDu15b
world-music,Kaikai Kitan,Eve,Kaikai Kitan / Ao No Waltz,2020-12-23,221426,73,1,spotify:track:6y4GYuZszeXNOXuBFsJlos
world-music,Shinunoga E-Wa,Fujii Kaze,HELP EVER HURT NEVER,2020-05-20,185573,79,8,spotify:track:0o9zmvc5f3EFApU52PPIyW
world-music,Bling-Bang-Bang-Born,Creepy Nuts,Bling-Bang-Bang-Born,2024-01-07,168135,77,1,spotify:track:0kdqcbwei4MDWFEX5f33yG
world-music,ReawakeR (feat. Felix of Stray Kids),"LiSA, Felix",ReawakeR (feat. Felix of Stray Kids),2025-01-05,184993,75,1,spotify:track:2rOUaQ1TGj7wZdHdn9UgTL
world-music,紅蓮華,LiSA,LEO-NiNE,2020-10-14,237586,75,2,spotify:track:0qMip0B2D4ePEjBJvAtYre
world-music,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",2020-12-18,246652,78,5,spotify:track:7mykoq6R3BArsSpNDjFQTm
world-music,シルエット,KANA-BOON,TIME,2015-01-21,240133,75,10,spotify:track:1di1C0QI6Y92yZPYn6XYAZ
world-music,Usseewa,Ado,Kyougen,2022-01-26,206893,71,11,spotify:track:61KYsWS25JXUO4fGb1138X
world-music,Abyss - from Kaiju No. 8,YUNGBLUD,Abyss (from Kaiju No. 8),2024-01-19,123293,73,1,spotify:track:2kLWSmKHhfUBepkIA9oNe5
world-music,"Aoi, Koi, Daidaiiro No Hi",MASS OF THE FERMENTING DREGS,World Is Yours,2009-01-21,282173,71,2,spotify:track:5S8jc9sCle880PjbwnEzsY
world-music,KICK BACK,Kenshi Yonezu,KICK BACK,2022-10-12,193495,73,1,spotify:track:3khEEPRyBeOUabbmOPJzAG
world-music,The Rumbling,SiM,The Rumbling,2022-02-07,220799,70,1,spotify:track:6k0X05danQOXSBTVek5DU1
world-music,青のすみか,Tatsuya Kitani,青のすみか,2023-07-07,196466,72,1,spotify:track:12usPU2WnqgCHAW1EK2dfd
world-music,Hai Yorokonde,Kocchi no Kento,Hai Yorokonde,2024-05-27,161632,71,1,spotify:track:6woV8uWxn7rcLZxJKYruS1
world-music,unravel,TK from Ling tosite sigure,Fantastic Magic,2014-08-27,238360,73,2,spotify:track:1rN9QoVxw5U7TJkyaUR8C1
world-music,NIGHT DANCER,imase,POP CUBE,2022-11-09,210600,73,6,spotify:track:3gmn76fCtpDazGMnN0QMHX
world-music,カワキヲアメク,美波,カワキヲアメク,2019-01-30,251933,70,1,spotify:track:3kUWZiVYJ4YQOl0u7Y1Og8
world-music,ブルーバード,Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,2006,215706,70,3,spotify:track:2XpV9sHBexcNrz0Gyf3l18
world-music,ピースサイン - Peace Sign,Kenshi Yonezu,BOOTLEG,2017-11-01,238533,72,3,spotify:track:364JzOajs76bJymjHm3sVY
world-music,crossing field,LiSA,LANDSPACE,2013-10-30,248946,70,3,spotify:track:4BvuZVf9KyBN3QiPfeI9hw
world-music,オトノケ - Otonoke,Creepy Nuts,LEGION,2025-02-05,186040,71,11,spotify:track:185mDjE865QpjA4MtzAzgs
world-music,唱,Ado,"Ado ""Ready For My Show Playlist""",2024-02-06,192653,70,2,spotify:track:7o0TPSw494RG2Q4iWmd1v6
world-music,DARK ARIA <LV2>,"SawanoHiroyuki[nZk], XAI",LEveL,2024-01-24,142080,69,2,spotify:track:5Mg4ZgUgR6whGObRh6UGn0
world-music,Shinzo wo Sasageyo !,Linked Horizon,Shingeki no Kiseki,2017-05-17,341413,68,11,spotify:track:5uraJqtCBvLpwt3VeomZdq
world-music,Bling-Bang-Bang-Born,Creepy Nuts,LEGION,2025-02-05,169640,70,6,spotify:track:4LhDEsC2tzaVuZbWAaCLrP
world-music,again,YUI,HOLIDAYS IN THE SUN,2010-07-14,254346,67,2,spotify:track:4OQq1bcP12GQQXJNupxqfR
world-music,堕天 - Daten,Creepy Nuts,アンサンブル・プレイ,2022-09-07,172906,69,5,spotify:track:5HPsZwo40KA3GThqBFZFac
world-music,Nobody - from Kaiju No. 8,OneRepublic,Nobody (from Kaiju No. 8),2024-04-12,153626,70,1,spotify:track:47N81NMkB488fuOwOC3Oip
world-music,NIGHT DANCER,imase,NIGHT DANCER,2022-08-19,210948,70,1,spotify:track:348NF6vX0Yh22xvH0EZEro
world-music,プロポーズ,9Lana,プロポーズ,2024-08-24,234400,69,1,spotify:track:1qODHv6fuFFDtozc05hoN6
world-music,FLY HIGH!!,BURNOUT SYNDROMES,檸檬,2016-11-09,244493,66,3,spotify:track:3YOZLPRiTuYgItSGO41gPT
world-music,神様はじめました,Hanae,神様はじめました／神様お願い,2012-11-09,205133,61,1,spotify:track:7LqRjCKrzXuAWOtbZinE4I
world-music,悲しみがとまらない　I CAN'T STOP THE LONELINESS,Anri,Timely!!,1983-12-05,263706,69,6,spotify:track:3FYDqY5BRtx3IVSaiQZSze
world-music,KICK BACK,Kenshi Yonezu,LOST CORNER,2024-08-21,194293,69,2,spotify:track:7oYCBKvdjrqp5vDbhDBuac
world-music,ポラリス,BLUE ENCOUNT,Q.E.D,2020-11-18,224213,64,3,spotify:track:28DlaPydCnrs8NxYOnUPZ8
world-music,青のすみか,Tatsuya Kitani,ROUNDABOUT,2024-01-10,196640,67,2,spotify:track:3zbKiko8V3u2yn1RcT8xBZ
world-music,Invincible - from Kaiju No. 8,OneRepublic,Invincible (from Kaiju No. 8),2025-04-18,155495,69,1,spotify:track:2ndG3pjTjbUWaJxFo9dWi8
world-music,踊り子,Vaundy,replica,2023-11-15,229328,73,9,spotify:track:1YXot2MLAG9sttepCtBRM7
world-music,Overdose,natori,劇場,2023-12-20,194106,69,4,spotify:track:7b4fxkOA4NDr4tDylrb10K
world-music,よふかしのうた - Yofukashino Uta,Creepy Nuts,よふかしのうた - Yofukashino Uta,2018-12-12,237913,66,1,spotify:track:0LQs5gRhqJKLOl8fFukRsQ
world-music,GO!!!,FLOW,GAME,2004,236160,64,1,spotify:track:30WNOfFRiqgebO4eRkCii8
world-music,Sparkle - movie ver.,RADWIMPS,Your Name.,2016-08-24,537653,67,24,spotify:track:3A4FRzgve9BjfKbvVXRIFO
world-music,言って。,ヨルシカ,夏草が邪魔をする,2017-06-28,242182,69,3,spotify:track:6z1TvLTR0oOsWSJfDrERmj
world-music,きらり,Fujii Kaze,Kirari Remixes (Asia Edition),2022-01-14,231882,72,9,spotify:track:51oc6MEsXTpnPn6GOw5VuP
salsa,Checorralero - Carnaval,Checo Acosta,"Checazos de Carnaval, Vol. 3",2006-10-31,299128,0,8,spotify:track:61W5YW99M65KcyHqYE5yYQ
salsa,Tarde,FredyClan,Urbano,2018-03-20,204096,0,8,spotify:track:5s0v42kt1rgDc20CxCm4mF
salsa,Pa Toto,Checo Acosta,"Colombia de Exportación Tropical, Vol. 3",2002-10-07,313097,0,4,spotify:track:6i83fz0dusr0oTYZEOJzVu
salsa,La ola Marina,"La Sonora Matancera, Virgilio González",Mi dulce amante,2019-05-08,170893,0,18,spotify:track:4RC6DCbwDC0BpoMU4vUGOE
salsa,Padre Nuestro,Hernán De Arco,Cuan Grande Es Él,2018-03-22,206173,0,1,spotify:track:3eaYUqgNHxhBxZlsuxz9il
salsa,Te Necesito,David Angel,Para Todas Las Generaciones,2017-08-08,214372,0,4,spotify:track:4xd8eeRLXRGsFMST5d5Tnd
salsa,Liceo de Pilar,Orquesta Aragón,Orquídea de Plata,2010-06-01,182853,0,21,spotify:track:13renDcAkTZi1V8NybQ6V5
salsa,Enseñame a Quererte - Acústica,Angel Laez,Baladas (Acústica),2009,204037,0,1,spotify:track:3G4ATUnYPKD76yO4ItRQWr
salsa,Llego La Hora,David Angel,Para Todas Las Generaciones,2017-08-08,247574,0,5,spotify:track:1Hdpvp3uUgCrnsSbTSXuKp
salsa,Ella Quiere Que Le Den Consejo,Orquesta Aragón,Ultimate Salsa Classics,2022-03-09,283271,0,28,spotify:track:17kGSwHI2JsAsv52pKsH33
salsa,TikTok,"Luis Eduardo Acústico, Alexis Play",Waury,2022-07-24,134407,0,9,spotify:track:4vBngfbTCwnEpANCiHlyDS
